snow_date,summer_window,hydro_slope,hydro_ci_lo,hydro_ci_hi,hydro_p,hydro_n,price_slope,price_p,price_n
03-01,Jun-Sep,25.481052423954743,-3.000746150198914,53.9628509981084,0.07116169328788559,8,0.02599898745719694,0.7046661241460656,6
04-01,Jun-Sep,24.880021156975673,4.987434472120231,44.77260784183112,0.022213686559705542,8,0.07030925267214616,0.3036811238138791,6
05-01,Jun-Sep,21.63084816998086,4.861896272586069,38.39980006737565,0.019655620668845068,8,0.048312239342207,0.3643780936117511,6
06-01,Jun-Sep,,,,,4,0.04048100889864505,0.6750914294025275,5
03-01,May-Sep,25.481052423954743,-3.000746150198914,53.9628509981084,0.07116169328788559,8,0.0260498006872927,0.7036780762576268,6
04-01,May-Sep,24.880021156975673,4.987434472120231,44.77260784183112,0.022213686559705542,8,0.0704037576198107,0.30208438117494446,6
05-01,May-Sep,21.63084816998086,4.861896272586069,38.39980006737565,0.019655620668845068,8,0.04836677020459148,0.3629653906955927,6
06-01,May-Sep,,,,,4,0.04068165034499239,0.6732166114244149,5
03-01,Jun-Aug,20.70984990614916,-4.213964533542331,45.63366434584065,0.08827133837803439,8,0.022654408095077606,0.7766077597125347,6
04-01,Jun-Aug,20.31449655060334,2.5128748656300814,38.1161182355766,0.03148115153425155,8,0.07716521518369551,0.33407384381616845,6
05-01,Jun-Aug,17.77332641501316,2.8501289567606882,32.69652387326563,0.02683183034200468,8,0.05073455583527985,0.4162989642025669,6
06-01,Jun-Aug,,,,,4,0.044363759797010696,0.6916940264960423,5
03-01,Jul-Sep,17.43931208005538,-2.6002045819762394,37.478828742087,0.07727171086544095,8,0.018667003148507295,0.8061196354477805,6
04-01,Jul-Sep,17.24130593509325,3.3465192503378365,31.136092619848668,0.022913224788451533,8,0.06814113471836483,0.3746465851495274,6
05-01,Jul-Sep,14.97337292927142,3.2360265155537267,26.710719342989115,0.02054475128406083,8,0.04518760359077509,0.44939796467606485,6
06-01,Jul-Sep,,,,,4,0.03442622720495441,0.7477609167257725,5
